sensorID,remark
AI3-01,ZDCQG-01-K15-X1/G18
AI3-02,ZDCQG-03-K16-X1/G19
AI3-03,ZDCQG-05-K16-X1/G20
AI3-04,ZDCQG-07-K16-X1/G21
AI3-05,ZDCQG-09-K17-X1/G22
AI3-06,DZY-01-D15-P15-01
AI3-07,DZY-01-D15-P15-02
AI3-08,DZY-01-D15-P15-03
AI4-01,DZY-02-D16-P16-01
AI4-02,DZY-02-D16-P16-02
AI4-03,DZY-02-D16-P16-03
AI5-01,DYBCGQ-01-K16-X4/G20
AI5-02,DYBCGQ-02-K16-X4/G20
AI5-03,DYBCGQ-03-K16-X4/G20
AI5-04,DYBCGQ-04-K16-X4/G20
AI5-05,DYBCGQ-05-K16-X3/G20
AI5-06,DYBCGQ-06-K16-X3/G20
AI5-07,DYBCGQ-07-K16-X3/G20
AI5-08,DYBCGQ-08-K16-X3/G20
AI6-01,DYBCGQ-09-K16-X2/G20
AI6-02,DYBCGQ-10-K16-X2/G20
AI6-03,DYBCGQ-11-K16-X2/G20
AI6-04,DYBCGQ-12-K16-X2/G20
AI6-05,DYBCGQ-13-K16-X1/G20
AI6-06,DYBCGQ-14-K16-X1/G20
AI6-07,DYBCGQ-15-K16-X1/G20
AI6-08,DYBCGQ-16-K16-X1/G20
AI7-01,ZDCQG-02-K15-X4/G18
AI7-02,ZDCQG-04-K16-X4/G19
AI7-03,ZDCQG-06-K16-X4/G20
AI7-04,ZDCQG-08-K16-X4/G21
AI7-05,ZDCQG-10-K17-X4/G22
AI7-06,SLCGQ-06-K16-ZFFDG2
AI7-07,SLCGQ-07-K16-ZFFDG3
AI7-08,SLCGQ-08-K16-ZFFDG4
AI8-01,SLCGQ-09-K16-ZFFDG5
AI8-02,SLCGQ-10-K16-ZFFDG6
AI8-03,WYJ-01-K15-ZF/G14
AI8-04,WYJ-07-K17-ZF/G17
AI8-05,SLCGQ-11-K16-YFFDG2
AI8-06,SLCGQ-12-K16-YFFDG3
AI8-07,SLCGQ-13-K16-YFFDG4
AI8-08,SLCGQ-14-K16-YFFDG5
AI9-01,SLCGQ-01-K16-ZDG1
AI9-02,SLCGQ-02-K16-ZDG5
AI9-03,SLCGQ-03-K16-ZDG8
AI9-04,SLCGQ-04-K16-ZDG11
AI9-05,ZDCQG-13-K16-ZGD/A20
AI9-06,ZDCQG-14-K16-ZGD/A20
AI9-07,ZDCQG-15-K16-YFGD/A20
AI9-08,ZDCQG-16-K16-YFGD/A20
AI10-01,DYBCGQ-27-AZD
AI10-02,DYBCGQ-28-AZD
AI10-03,DYBCGQ-29-AZD
AI10-04,DYBCQG-30-AZD
AI10-05,WYJ-09-AZD-PA26
AI10-06,WYJ-10-AZD-PA23
AI10-07,WYJ-11-AZD-PA20
AI10-08,WYJ-12-AZD-PA16
AI11-01,DYBCGQ-31-BZD
AI11-02,DYBCGQ-32-BZD
AI11-03,DYBCGQ-33-BZD
AI11-04,DYBCGQ-34-BZD
AI11-05,WYJ-13-BZD-PB5
AI11-06,WYJ-14-BZD-PB1
AI12-01,DYBCGQ-21-K16-ZFGD/A20
AI12-02,DYBCGQ-22-K16-ZFGD/A20
AI12-03,DYBCGQ-23-K16-ZGD/A20
AI12-04,DYBCQG-24-K16-ZGD/A20
AI12-05,DYBCQG-25-K16-YFGD/G20
AI12-06,DYBCQG-26-K16-YFGD/G20
AI12-07,DYBCGQ-17-K16-HG/G20
AI12-08,DYBCQG-18-K16-HG/G20
AI13-01,DYBCGQ-43-AZD
AI13-02,DYBCGQ-44-AZD
AI13-03,DYBCGQ-45-AZD
AI13-04,DYBCGQ-46-AZD
AI13-05,WYJ-19-AZD-A1
AI13-06,WYJ-20-AZD-A4
AI13-07,WYJ-21-AZD-A7
AI13-08,WYJ-22-AZD-A9
AI14-01,DYBCGQ-39-DZD
AI14-02,DYBCGQ-40-DZD
AI14-03,DYBCGQ-41-DZD
AI14-04,DYBCGQ-42-DZD
AI14-05,WYJ-17-DZD-PD1
AI14-06,WYJ-18-DZD-PD6
AI15-01,DYBCGQ-47-BZD
AI15-02,DYBCGQ-48-BZD
AI15-03,DYBCGQ-49-BZD
AI15-04,DYBCQG-50-BZD
AI15-05,WYJ-23-BZD-B1
AI15-06,WYJ-24-BZD-B4
AI16-01,SLCGQ-05-K16-ZDG15
AI16-02,SLCGQ-15-K16-YFFDG6
AI16-03,ZDCQG-11-K16-ZFGD/A20
AI16-04,ZDCQG-12-K16-ZFGD/A20
AI16-05,WDCGQ-17-K16-ZGD/A20
AI16-06,WDCQG-18-K16-ZDG/A20
AI16-07,CSFSY-01-K16-GD/A20
AI16-08,CSFSY-01-K16-GD/A20(1)
AI18-01,WYJ-03-K15-ZF/G15
AI18-02,WYJ-05-K16-ZF/G16
AI18-03,WYJ-02-K15-YF/G14
AI18-04,WYJ-04-K15-YF/G15
AI18-05,WYJ-06-K16-YF/G16
AI18-06,WYJ-08-K17-YF/G17
AI18-07,WSDJ-03-K16-X4/G22
